     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,        18,         0,   0.018,pymatching,59d71f2e25dd87eb5aab8b33be1da52f546dd81581d9a2534d2bc73ea1fda073,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.022217,""p"":0.008,""q"":0.000694}"
       100,        18,         0,   0.020,pymatching,34c38c4fb16571ddd658676e6f20ac086ce34ffb7a653ac4781527deb1b8b31d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.023451,""p"":0.008444,""q"":0.000733}"
       100,        13,         0,   0.020,pymatching,76929681b91160c1f29531e487ca2d41495c2fad725d4f4a81aac985892586a6,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.024685,""p"":0.008889,""q"":0.000771}"
       100,        23,         0,   0.022,pymatching,267b72998c0b3641889170e7716d664bafbd791f564cfb23a5f8b04a99ac517d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.025919,""p"":0.009333,""q"":0.00081}"
       100,        19,         0,   0.022,pymatching,ae664dae4468d1d1c6b2770cdd425b83d934406772a7ee75b45a48c387d7bd1d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.027154,""p"":0.009778,""q"":0.000849}"
       100,        17,         0,   0.022,pymatching,428cdf577c4716af42bec0f1d6becdb41efef5bf62289e58258d763647e35424,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.028388,""p"":0.010222,""q"":0.000887}"
       100,        25,         0,   0.022,pymatching,de5b06a22d358f0741e1991b035d3c196f3695ef43708ff52c5712e0b61f1935,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.029622,""p"":0.010667,""q"":0.000926}"
       100,        28,         0,   0.022,pymatching,f609b0a8ff46ff83c9d4de7a358e8634d83f461fe65b0b99e06b714b445aeb07,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.033325,""p"":0.012,""q"":0.001041}"
       100,        25,         0,   0.023,pymatching,431c65378f97962be7e654a284b68d4e041d6a9c5c3e7890652b5eac71e624ce,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.030856,""p"":0.011111,""q"":0.000964}"
       100,        25,         0,   0.023,pymatching,c606d8a4b26b546b4af3f61a102dc09c7542451adbc38c7fde80eff0fdf1761d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.032091,""p"":0.011556,""q"":0.001003}"
       100,        11,         0,   0.012,pymatching,59d71f2e25dd87eb5aab8b33be1da52f546dd81581d9a2534d2bc73ea1fda073,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.022217,""p"":0.008,""q"":0.000694}"
       200,        30,         0,   0.016,pymatching,59d71f2e25dd87eb5aab8b33be1da52f546dd81581d9a2534d2bc73ea1fda073,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.022217,""p"":0.008,""q"":0.000694}"
       200,        31,         0,   0.015,pymatching,59d71f2e25dd87eb5aab8b33be1da52f546dd81581d9a2534d2bc73ea1fda073,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.022217,""p"":0.008,""q"":0.000694}"
       100,        13,         0,   0.012,pymatching,34c38c4fb16571ddd658676e6f20ac086ce34ffb7a653ac4781527deb1b8b31d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.023451,""p"":0.008444,""q"":0.000733}"
       100,        22,         0,   0.012,pymatching,76929681b91160c1f29531e487ca2d41495c2fad725d4f4a81aac985892586a6,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.024685,""p"":0.008889,""q"":0.000771}"
       200,        27,         0,   0.015,pymatching,34c38c4fb16571ddd658676e6f20ac086ce34ffb7a653ac4781527deb1b8b31d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.023451,""p"":0.008444,""q"":0.000733}"
       200,        33,         0,   0.015,pymatching,34c38c4fb16571ddd658676e6f20ac086ce34ffb7a653ac4781527deb1b8b31d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.023451,""p"":0.008444,""q"":0.000733}"
       200,        33,         0,   0.014,pymatching,76929681b91160c1f29531e487ca2d41495c2fad725d4f4a81aac985892586a6,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.024685,""p"":0.008889,""q"":0.000771}"
       200,        27,         0,   0.015,pymatching,76929681b91160c1f29531e487ca2d41495c2fad725d4f4a81aac985892586a6,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.024685,""p"":0.008889,""q"":0.000771}"
       200,        40,         0,   0.016,pymatching,267b72998c0b3641889170e7716d664bafbd791f564cfb23a5f8b04a99ac517d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.025919,""p"":0.009333,""q"":0.00081}"
       400,        67,         0,   0.019,pymatching,59d71f2e25dd87eb5aab8b33be1da52f546dd81581d9a2534d2bc73ea1fda073,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.022217,""p"":0.008,""q"":0.000694}"
       400,        67,         0,   0.020,pymatching,34c38c4fb16571ddd658676e6f20ac086ce34ffb7a653ac4781527deb1b8b31d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.023451,""p"":0.008444,""q"":0.000733}"
       600,       106,         0,   0.025,pymatching,59d71f2e25dd87eb5aab8b33be1da52f546dd81581d9a2534d2bc73ea1fda073,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.022217,""p"":0.008,""q"":0.000694}"
       600,       108,         0,   0.027,pymatching,34c38c4fb16571ddd658676e6f20ac086ce34ffb7a653ac4781527deb1b8b31d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.023451,""p"":0.008444,""q"":0.000733}"
       800,       109,         0,   0.031,pymatching,59d71f2e25dd87eb5aab8b33be1da52f546dd81581d9a2534d2bc73ea1fda073,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.022217,""p"":0.008,""q"":0.000694}"
        82,        16,         0,   0.009,pymatching,59d71f2e25dd87eb5aab8b33be1da52f546dd81581d9a2534d2bc73ea1fda073,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.022217,""p"":0.008,""q"":0.000694}"
       800,       139,         0,   0.034,pymatching,34c38c4fb16571ddd658676e6f20ac086ce34ffb7a653ac4781527deb1b8b31d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.023451,""p"":0.008444,""q"":0.000733}"
       400,        61,         0,   0.020,pymatching,59d71f2e25dd87eb5aab8b33be1da52f546dd81581d9a2534d2bc73ea1fda073,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.022217,""p"":0.008,""q"":0.000694}"
      1200,       175,         0,   0.043,pymatching,59d71f2e25dd87eb5aab8b33be1da52f546dd81581d9a2534d2bc73ea1fda073,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.022217,""p"":0.008,""q"":0.000694}"
       374,        57,         0,   0.018,pymatching,59d71f2e25dd87eb5aab8b33be1da52f546dd81581d9a2534d2bc73ea1fda073,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.022217,""p"":0.008,""q"":0.000694}"
      1200,       182,         0,   0.047,pymatching,34c38c4fb16571ddd658676e6f20ac086ce34ffb7a653ac4781527deb1b8b31d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.023451,""p"":0.008444,""q"":0.000733}"
      1200,       238,         0,   0.049,pymatching,76929681b91160c1f29531e487ca2d41495c2fad725d4f4a81aac985892586a6,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.024685,""p"":0.008889,""q"":0.000771}"
        96,        13,         0,   0.010,pymatching,59d71f2e25dd87eb5aab8b33be1da52f546dd81581d9a2534d2bc73ea1fda073,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.022217,""p"":0.008,""q"":0.000694}"
      1200,       248,         0,   0.050,pymatching,76929681b91160c1f29531e487ca2d41495c2fad725d4f4a81aac985892586a6,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.024685,""p"":0.008889,""q"":0.000771}"
         2,         0,         0,   0.008,pymatching,59d71f2e25dd87eb5aab8b33be1da52f546dd81581d9a2534d2bc73ea1fda073,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.022217,""p"":0.008,""q"":0.000694}"
        16,         2,         0,   0.007,pymatching,59d71f2e25dd87eb5aab8b33be1da52f546dd81581d9a2534d2bc73ea1fda073,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.022217,""p"":0.008,""q"":0.000694}"
       128,        22,         0,   0.011,pymatching,34c38c4fb16571ddd658676e6f20ac086ce34ffb7a653ac4781527deb1b8b31d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.023451,""p"":0.008444,""q"":0.000733}"
       600,       128,         0,   0.028,pymatching,76929681b91160c1f29531e487ca2d41495c2fad725d4f4a81aac985892586a6,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.024685,""p"":0.008889,""q"":0.000771}"
       600,       117,         0,   0.030,pymatching,267b72998c0b3641889170e7716d664bafbd791f564cfb23a5f8b04a99ac517d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.025919,""p"":0.009333,""q"":0.00081}"
         3,         0,         0,   0.008,pymatching,59d71f2e25dd87eb5aab8b33be1da52f546dd81581d9a2534d2bc73ea1fda073,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.022217,""p"":0.008,""q"":0.000694}"
         4,         0,         0,   0.007,pymatching,59d71f2e25dd87eb5aab8b33be1da52f546dd81581d9a2534d2bc73ea1fda073,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.022217,""p"":0.008,""q"":0.000694}"
       600,       130,         0,   0.030,pymatching,267b72998c0b3641889170e7716d664bafbd791f564cfb23a5f8b04a99ac517d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.025919,""p"":0.009333,""q"":0.00081}"
       300,        64,         0,   0.019,pymatching,267b72998c0b3641889170e7716d664bafbd791f564cfb23a5f8b04a99ac517d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.025919,""p"":0.009333,""q"":0.00081}"
         5,         0,         0,   0.008,pymatching,59d71f2e25dd87eb5aab8b33be1da52f546dd81581d9a2534d2bc73ea1fda073,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.022217,""p"":0.008,""q"":0.000694}"
         5,         1,         0,   0.007,pymatching,59d71f2e25dd87eb5aab8b33be1da52f546dd81581d9a2534d2bc73ea1fda073,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.022217,""p"":0.008,""q"":0.000694}"
       200,        39,         0,   0.015,pymatching,ae664dae4468d1d1c6b2770cdd425b83d934406772a7ee75b45a48c387d7bd1d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.027154,""p"":0.009778,""q"":0.000849}"
       200,        46,         0,   0.015,pymatching,ae664dae4468d1d1c6b2770cdd425b83d934406772a7ee75b45a48c387d7bd1d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.027154,""p"":0.009778,""q"":0.000849}"
       100,        10,         0,   0.113,pymatching,85ee9cd199c071037091e4d1de0483954b66ee380e006b00e083652032ca6d10,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":8,""layers"":8,""m"":0.0224,""p"":0.008,""q"":0.0007}"
       100,        25,         0,   0.118,pymatching,7808cdbcebd374a79ca859b0704f6ba8c288dcac33e11654059639d6e2165b3b,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":8,""layers"":8,""m"":0.026133,""p"":0.009333,""q"":0.000817}"
         8,         2,         0,   0.008,pymatching,59d71f2e25dd87eb5aab8b33be1da52f546dd81581d9a2534d2bc73ea1fda073,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.022217,""p"":0.008,""q"":0.000694}"
      2000,       327,         0,   0.070,pymatching,59d71f2e25dd87eb5aab8b33be1da52f546dd81581d9a2534d2bc73ea1fda073,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.022217,""p"":0.008,""q"":0.000694}"
       100,        11,         0,   0.012,pymatching,ae664dae4468d1d1c6b2770cdd425b83d934406772a7ee75b45a48c387d7bd1d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.027154,""p"":0.009778,""q"":0.000849}"
       100,        15,         0,   0.123,pymatching,813b00ba068511e05f9e6d87e3212d19465359765083c2f244c5d8b149d2729a,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":8,""layers"":8,""m"":0.023644,""p"":0.008444,""q"":0.000739}"
       100,        18,         0,   0.127,pymatching,09554f3d57bc5aaa05f73107239b4beefed24118459f68f42124cdf867abbe9c,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":8,""layers"":8,""m"":0.024889,""p"":0.008889,""q"":0.000778}"
       200,        53,         0,   0.016,pymatching,428cdf577c4716af42bec0f1d6becdb41efef5bf62289e58258d763647e35424,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.028388,""p"":0.010222,""q"":0.000887}"
       100,        19,         0,   0.012,pymatching,428cdf577c4716af42bec0f1d6becdb41efef5bf62289e58258d763647e35424,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.028388,""p"":0.010222,""q"":0.000887}"
       200,        47,         0,   0.016,pymatching,428cdf577c4716af42bec0f1d6becdb41efef5bf62289e58258d763647e35424,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.028388,""p"":0.010222,""q"":0.000887}"
       200,        48,         0,   0.017,pymatching,de5b06a22d358f0741e1991b035d3c196f3695ef43708ff52c5712e0b61f1935,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.029622,""p"":0.010667,""q"":0.000926}"
       100,        17,         0,   0.012,pymatching,de5b06a22d358f0741e1991b035d3c196f3695ef43708ff52c5712e0b61f1935,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.029622,""p"":0.010667,""q"":0.000926}"
       200,        54,         0,   0.017,pymatching,de5b06a22d358f0741e1991b035d3c196f3695ef43708ff52c5712e0b61f1935,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.029622,""p"":0.010667,""q"":0.000926}"
       600,       118,         0,   0.032,pymatching,ae664dae4468d1d1c6b2770cdd425b83d934406772a7ee75b45a48c387d7bd1d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.027154,""p"":0.009778,""q"":0.000849}"
      2414,       406,         0,   0.085,pymatching,34c38c4fb16571ddd658676e6f20ac086ce34ffb7a653ac4781527deb1b8b31d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.023451,""p"":0.008444,""q"":0.000733}"
       100,        27,         0,   0.151,pymatching,b2f89f406b5c8f53b72f9e2b7e311ef5ecb983e5c06bf66dc51e620ae98c348e,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":8,""layers"":8,""m"":0.027378,""p"":0.009778,""q"":0.000856}"
       600,       120,         0,   0.031,pymatching,ae664dae4468d1d1c6b2770cdd425b83d934406772a7ee75b45a48c387d7bd1d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.027154,""p"":0.009778,""q"":0.000849}"
       800,       166,         0,   0.041,pymatching,ae664dae4468d1d1c6b2770cdd425b83d934406772a7ee75b45a48c387d7bd1d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.027154,""p"":0.009778,""q"":0.000849}"
      1808,       317,         0,   0.072,pymatching,76929681b91160c1f29531e487ca2d41495c2fad725d4f4a81aac985892586a6,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.024685,""p"":0.008889,""q"":0.000771}"
      1240,       224,         0,   0.054,pymatching,267b72998c0b3641889170e7716d664bafbd791f564cfb23a5f8b04a99ac517d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.025919,""p"":0.009333,""q"":0.00081}"
       600,       156,         0,   0.034,pymatching,428cdf577c4716af42bec0f1d6becdb41efef5bf62289e58258d763647e35424,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.028388,""p"":0.010222,""q"":0.000887}"
      1000,       227,         0,   0.050,pymatching,ae664dae4468d1d1c6b2770cdd425b83d934406772a7ee75b45a48c387d7bd1d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.027154,""p"":0.009778,""q"":0.000849}"
       400,        80,         0,   0.025,pymatching,428cdf577c4716af42bec0f1d6becdb41efef5bf62289e58258d763647e35424,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.028388,""p"":0.010222,""q"":0.000887}"
       100,        28,         0,   0.163,pymatching,052e9063a122f2d64406e8287f4766de84cab5d33d52d1c763c437542002c210,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":8,""layers"":8,""m"":0.028622,""p"":0.010222,""q"":0.000894}"
       100,        30,         0,   0.164,pymatching,f85173755c728c7497b16199d7b2fe1bca9efd76196dfd89d1a098d71f578d50,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":8,""layers"":8,""m"":0.029867,""p"":0.010667,""q"":0.000933}"
       100,        24,         0,   0.012,pymatching,431c65378f97962be7e654a284b68d4e041d6a9c5c3e7890652b5eac71e624ce,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.030856,""p"":0.011111,""q"":0.000964}"
       100,        41,         0,   0.168,pymatching,e6a2ce86d15cd2b8f7113e81a08e9ffe23a0391d18236e7b3a6f255ab35584df,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":8,""layers"":8,""m"":0.031111,""p"":0.011111,""q"":0.000972}"
       100,        32,         0,   0.165,pymatching,80cd1d4761bbdc8dad4730fe8a8f89136e4d623b1f344689e423b044435bc591,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":8,""layers"":8,""m"":0.0336,""p"":0.012,""q"":0.00105}"
       100,        38,         0,   0.166,pymatching,df40e11462ec72ee30665b25e71156b35f71973adc44e759ef5a70e760b35085,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":8,""layers"":8,""m"":0.032356,""p"":0.011556,""q"":0.001011}"
       200,        62,         0,   0.016,pymatching,431c65378f97962be7e654a284b68d4e041d6a9c5c3e7890652b5eac71e624ce,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.030856,""p"":0.011111,""q"":0.000964}"
       200,        50,         0,   0.020,pymatching,431c65378f97962be7e654a284b68d4e041d6a9c5c3e7890652b5eac71e624ce,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.030856,""p"":0.011111,""q"":0.000964}"
       800,       199,         0,   0.042,pymatching,428cdf577c4716af42bec0f1d6becdb41efef5bf62289e58258d763647e35424,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.028388,""p"":0.010222,""q"":0.000887}"
       100,        30,         0,   0.012,pymatching,c606d8a4b26b546b4af3f61a102dc09c7542451adbc38c7fde80eff0fdf1761d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.032091,""p"":0.011556,""q"":0.001003}"
       252,        55,         0,   0.016,pymatching,267b72998c0b3641889170e7716d664bafbd791f564cfb23a5f8b04a99ac517d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.025919,""p"":0.009333,""q"":0.00081}"
      1800,       375,         0,   0.076,pymatching,267b72998c0b3641889170e7716d664bafbd791f564cfb23a5f8b04a99ac517d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.025919,""p"":0.009333,""q"":0.00081}"
       200,        59,         0,   0.018,pymatching,c606d8a4b26b546b4af3f61a102dc09c7542451adbc38c7fde80eff0fdf1761d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.032091,""p"":0.011556,""q"":0.001003}"
       200,        54,         0,   0.017,pymatching,c606d8a4b26b546b4af3f61a102dc09c7542451adbc38c7fde80eff0fdf1761d,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.032091,""p"":0.011556,""q"":0.001003}"
       194,        34,         0,   0.017,pymatching,428cdf577c4716af42bec0f1d6becdb41efef5bf62289e58258d763647e35424,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.028388,""p"":0.010222,""q"":0.000887}"
       100,        33,         0,   0.014,pymatching,f609b0a8ff46ff83c9d4de7a358e8634d83f461fe65b0b99e06b714b445aeb07,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.033325,""p"":0.012,""q"":0.001041}"
       200,        57,         0,   0.020,pymatching,f609b0a8ff46ff83c9d4de7a358e8634d83f461fe65b0b99e06b714b445aeb07,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.033325,""p"":0.012,""q"":0.001041}"
       800,       203,         0,   0.047,pymatching,de5b06a22d358f0741e1991b035d3c196f3695ef43708ff52c5712e0b61f1935,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.029622,""p"":0.010667,""q"":0.000926}"
       200,        51,         0,   0.019,pymatching,431c65378f97962be7e654a284b68d4e041d6a9c5c3e7890652b5eac71e624ce,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.030856,""p"":0.011111,""q"":0.000964}"
       200,        64,         0,   0.019,pymatching,f609b0a8ff46ff83c9d4de7a358e8634d83f461fe65b0b99e06b714b445aeb07,"{""bias"":32,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3HoneycombCode"",""distance"":4,""layers"":4,""m"":0.033325,""p"":0.012,""q"":0.001041}"
